# x,y,z,is_reachable
0.237,0.099,0.274,0.0
0.418,-0.157,-0.032,1.0
0.393,-0.032,0.568,1.0
0.519,-0.278,0.288,1.0
0.418,-0.157,-0.032,1.0
0.493,-0.232,0.418,1.0
0.570,0.058,0.264,1.0
-0.334,-0.334,-0.010,1.0
-0.228,-0.072,0.264,1.0
-0.390,-0.072,0.595,0.0
-0.122,-0.278,0.213,1.0
-0.097,-0.428,0.595,0.0
-0.507,-0.232,0.368,1.0
-0.482,-0.032,-0.007,1.0
-0.457,-0.032,0.518,1.0
-0.384,-0.296,0.475,1.0
-0.332,-0.132,0.393,1.0
-0.395,-0.007,0.593,0.0
-0.328,-0.459,0.364,1.0
-0.257,-0.282,-0.032,1.0
-0.172,-0.122,0.314,1.0
-0.182,0.018,0.543,1.0
-0.082,-0.457,-0.032,1.0
-0.273,-0.535,0.123,1.0
-0.157,0.018,0.518,0.0
-0.057,-0.382,-0.032,1.0
-0.057,-0.382,0.618,0.0
0.018,-0.182,0.693,0.0
-0.089,-0.102,0.697,0.0
0.043,-0.382,-0.032,1.0
0.018,-0.257,0.268,0.0
0.118,-0.582,0.268,1.0
0.093,-0.282,0.268,1.0
0.068,-0.057,0.368,0.0
0.318,-0.257,-0.032,1.0
0.243,-0.332,0.568,1.0
0.305,0.088,0.088,1.0
0.381,-0.507,0.231,0.0
0.318,-0.257,-0.032,1.0
0.268,-0.082,0.043,1.0
0.364,0.008,0.314,1.0
0.335,0.049,0.309,1.0
0.518,-0.257,0.418,0.0
0.443,-0.032,-0.032,1.0
0.468,0.118,0.143,1.0
0.414,-0.352,0.021,1.0
0.070,-0.571,0.314,1.0
0.268,-0.182,0.180,1.0
-0.471,-0.122,0.519,0.0
-0.494,0.093,0.355,1.0
0.418,-0.469,0.168,0.0
0.457,-0.122,0.519,0.0
-0.432,0.218,0.043,0.0
0.418,-0.469,0.168,0.0
0.372,0.057,0.512,0.0
-0.551,-0.213,0.299,0.0
0.355,-0.482,0.318,1.0
-0.430,-0.077,0.556,0.0
0.084,-0.533,0.457,1.0
0.218,-0.044,0.268,0.0
0.341,-0.483,0.316,1.0
0.469,-0.352,0.314,1.0
0.084,-0.533,0.457,1.0
-0.332,0.050,0.618,0.0
-0.072,-0.571,0.314,1.0
-0.122,-0.533,0.457,0.0
-0.122,-0.533,0.457,0.0
0.243,-0.182,-0.032,1.0
-0.500,-0.226,0.374,1.0
-0.494,0.093,0.355,1.0
-0.413,-0.276,0.462,1.0
-0.280,0.138,0.113,1.0
-0.080,-0.572,0.312,1.0
-0.072,-0.471,0.519,1.0
0.058,-0.571,0.314,1.0
0.337,-0.471,0.090,1.0
0.243,-0.220,0.131,1.0
-0.521,-0.135,0.327,1.0
-0.432,-0.257,-0.032,0.0
0.322,0.119,0.019,1.0
0.518,0.118,0.030,1.0
-0.432,-0.244,0.468,1.0
0.470,-0.350,0.312,1.0
-0.432,-0.182,0.468,1.0
-0.032,-0.607,0.068,1.0
0.318,0.018,0.418,0.0
-0.405,0.001,0.518,1.0
-0.032,-0.607,0.068,1.0
-0.080,-0.471,0.520,1.0
0.051,-0.570,0.316,1.0
0.066,-0.471,0.520,1.0
0.205,-0.282,0.168,1.0
0.458,-0.350,0.090,1.0
0.331,-0.007,0.581,1.0
-0.270,-0.232,-0.044,1.0
-0.182,-0.407,0.568,1.0
0.343,-0.482,0.318,1.0
0.236,-0.101,0.661,1.0
-0.270,-0.232,-0.044,1.0
0.113,-0.052,0.366,1.0
0.268,0.043,-0.032,1.0
0.088,-0.027,0.518,1.0
-0.432,-0.220,0.480,1.0
-0.338,0.053,0.520,1.0
-0.119,-0.007,0.355,1.0
-0.544,-0.182,0.256,1.0
-0.550,-0.001,0.262,1.0
0.258,-0.539,0.270,1.0
0.418,0.056,-0.038,1.0
0.418,0.056,-0.038,0.0
-0.550,-0.001,0.262,1.0
